,date,event,province,district,deaths,injured,missing,house_destroyed,house_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_local,education_center,hospitals,crops_damageHa,road_damage_M
158,2019-12-17,event,province, LANGKAT,0.0,0.0,0.0,0.0,0.0,0.0,500.0, ,0.0,0,0.0,0.0,0.0,0.0
159,2019-12-17,event,province, KOTA SEMARANG,0.0,0.0,0.0,0.0,1.0,0.0,4.0, ,0.0,0,0.0,0.0,0.0,0.0
160,2019-12-17,event,province, BANDUNG,0.0,0.0,0.0,0.0,2.0,10.0,0.0, ,10.0,0,0.0,0.0,0.0,0.0
161,2019-12-17,event,province, KENDAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
162,2019-12-17,event,province, KLATEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,1.0,0.0,0.0,0.0
163,2019-12-16,event,province, NGANJUK,0.0,0.0,0.0,0.0,1.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
164,2019-12-16,event,province, ASAHAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
165,2019-12-16,event,province, LANGKAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
166,2019-12-16,event,province, LHOKSEUMAWE,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
167,2019-12-16,event,province, SINGKAWANG,0.0,0.0,0.0,0.0,0.0,124.0,0.0, ,124.0,0,0.0,0.0,0.0,0.0
168,2019-12-16,event,province, ACEH TIMUR,0.0,0.0,0.0,0.0,0.0,0.0,237.0, ,0.0,0,0.0,0.0,0.0,0.0
169,2019-12-16,event,province, WONOSOBO,1.0,2.0,0.0,0.0,0.0,0.0,2.0, ,0.0,0,0.0,0.0,0.0,0.0
170,2019-12-16,event,province, KUDUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
171,2019-12-16,event,province, ACEH UTARA,0.0,0.0,0.0,0.0,0.0,0.0,2330.0, ,0.0,0,0.0,0.0,0.0,0.0
172,2019-12-16,event,province, NGAWI,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,1.0,0.0,0.0,0.0
173,2019-12-16,event,province, MADIUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
174,2019-12-16,event,province, KOTA TASIKMALAYA,0.0,0.0,0.0,2.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
175,2019-12-15,event,province, CILACAP,0.0,0.0,0.0,2.0,0.0,5.0,0.0, ,5.0,0,0.0,0.0,0.0,0.0
176,2019-12-15,event,province, CILACAP,0.0,0.0,0.0,1.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
177,2019-12-15,event,province, LAMPUNG BARAT,0.0,0.0,0.0,0.0,0.0,0.0,20.0, ,0.0,0,0.0,0.0,0.0,0.0
178,2019-12-15,event,province, SERANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
179,2019-12-15,event,province, BANJARMASIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
180,2019-12-15,event,province, TANA TORAJA,0.0,0.0,0.0,0.0,0.0,0.0,3.0, ,0.0,0,0.0,0.0,0.0,0.0
181,2019-12-15,event,province, MAGELANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
182,2019-12-15,event,province, ACEH TIMUR,0.0,0.0,0.0,0.0,0.0,0.0,28.0, ,0.0,0,0.0,0.0,0.0,0.0
183,2019-12-15,event,province, BANGKA,0.0,0.0,0.0,0.0,0.0,0.0,27.0, ,0.0,0,0.0,0.0,0.0,0.0
184,2019-12-14,event,province, MAGELANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
